Deal_Ratio,Condition,Deal_Quality,Listing_Price,Year,Make,Model,Mileage,Location,Facebook_URL,Market_Prices
0.892,Excellent,Poor,3800,1997,Bmw,Z3 Coupe,16000,"Jose, CA",https://www.facebook.com/marketplace/item/1365525198571865/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$2930,$3378,$3861"
0.79,Good,Poor,11000,2017,Honda,Accord Lx,59000,"Hayward, CA",https://www.facebook.com/marketplace/item/827239803100132/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$8168,$9417,$10762"
0.79,Good,Poor,14500,2013,Toyota,Prius Three,59000,"Rosa, CA",https://www.facebook.com/marketplace/item/801201972822986/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$10767,$12413,$14187"
0.74,Fair,Poor,19500,2019,Honda,Odyssey Ex,81000,"Francisco, CA",https://www.facebook.com/marketplace/item/1898347507394213/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$14672,$16917,$19333"
0.73,Fair,Poor,6800,2013,Honda,Fit Sport,113000,"Richmond, CA",https://www.facebook.com/marketplace/item/1848026379125723/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$5049,$5821,$6653"
0.73,Fair,Poor,12500,2016,Honda,Hr-V Ex,99000,"Alameda, CA",https://www.facebook.com/marketplace/item/2250028645507309/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$9282,$10701,$12230"
0.702,Fair,Poor,10000,2012,Ford,Mustang Santa,107000,"Clara, CA",https://www.facebook.com/marketplace/item/1207811277830953/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$7140,$8232,$9408"
0.702,Fair,Poor,4500,2003,Hyundai,Santa Fe,85000,"Park, CA",https://www.facebook.com/marketplace/item/1871726543739779/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$3213,$3704,$4233"
0.669,Poor,Poor,3950,2009,Audi,A4 Premium,142000,"Jose, CA",https://www.facebook.com/marketplace/item/1539680043880339/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$3045,$3511,$4013"
0.661,Poor,Poor,14000,2020,Hyundai,Ioniq Hybrid,130000,"Clara, CA",https://www.facebook.com/marketplace/item/643429388850683/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$10662,$12293,$14049"
0.653,Poor,Poor,15000,2019,Toyota,"Camry Carmichael,",180000,"Carmichael, CA",https://www.facebook.com/marketplace/item/808117632104956/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$11286,$13013,$14872"
0.644,Poor,Poor,4000,2002,Toyota,Sequoia Sr5,178000,"Pleasanton, CA",https://www.facebook.com/marketplace/item/1307654270642797/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$2970,$3424,$3913"
0.644,Poor,Poor,13500,2012,Toyota,4Runner Sr5,177000,"Jose, CA",https://www.facebook.com/marketplace/item/1490640742163730/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$10024,$11557,$13208"
0.644,Poor,Poor,4450,2010,Toyota,Camry Xle,136000,"Oakland, CA",https://www.facebook.com/marketplace/item/683654651459789/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$3304,$3809,$4354"
0.644,Poor,Poor,2400,2001,Honda,Accord Ex,129000,"Jose, CA",https://www.facebook.com/marketplace/item/1388842622578056/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$1782,$2054,$2348"
0.644,Poor,Poor,3800,2009,Honda,Civic Hybrid,181000,"Oakland, CA",https://www.facebook.com/marketplace/item/1089478293262630/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$2821,$3253,$3718"
0.644,Poor,Poor,11250,2016,Toyota,Prius Two,151000,"Sacramento, CA",https://www.facebook.com/marketplace/item/816400681146712/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$8353,$9631,$11007"
0.644,Poor,Poor,6300,2015,Toyota,Prius C,177000,"Fairfield, CA",https://www.facebook.com/marketplace/item/1453838539250824/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$4678,$5393,$6164"
0.62,Poor,Poor,5000,2011,Kia,Forte Koup,125000,"Fairfield, CA",https://www.facebook.com/marketplace/item/1390177436033988/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$3570,$4116,$4704"
0.619,Poor,Poor,7100,2017,Nissan,Rogue Sv,180000,"Fairfield, CA",https://www.facebook.com/marketplace/item/2626373121110598/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$5069,$5844,$6679"
0.619,Poor,Poor,8400,2012,Volvo,Xc60 3.2,129000,"Dublin, CA",https://www.facebook.com/marketplace/item/1155129022711072/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$5997,$6914,$7902"
0.619,Poor,Poor,4750,2010,Infiniti,"G37 Hayward,",133000,"Hayward, CA",https://www.facebook.com/marketplace/item/803976705933585/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$3391,$3910,$4468"
0.619,Poor,Poor,4900,2010,Ford,Explorer Xlt,177000,"Jose, CA",https://www.facebook.com/marketplace/item/1216869400273488/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,"$3498,$4033,$4609"
